chain_id,validator_name,validator_address
celestia,kiln,celestiavaloper1uxlf7mvr8nep3gm7udf2u9remms2jyjqa02qlj
celestia,informal,celestiavaloper1x20lytyf6zkcrv5edpkfkn8sz578qg5spge2ru
celestia,smartstake,celestiavaloper1tzm96yvupy3egtpg6uw0s2f4c85qayw3afwetd
celestia,validao,celestiavaloper1gfn5m2vjqk4kcdg2zwhzgpvu60jz0f9duhu594
comdex-1,crosnest,comdexvaloper12dseyeqwsv3lkxlks45p4fp7et4qnzn5vkavjf
comdex-1,witval,comdexvaloper10j3t6jxqjjnz4lkh3m2af7yxcf9773r4a8z8z3
comdex-1,stakewollecomautocompound,comdexvaloper15xevj3n6eq36t62sjjrsvf6hkuryg8w3pmpqy8
comdex-1,lavenderfivenodes,comdexvaloper140l6y2gp3gxvay6qtn70re7z2s0gn57zcpt5ph
comdex-1,validatrium,comdexvaloper1wg8m5kkhrrszyvgqq2d5t9c4fd0cqqhy04tlud
comdex-1,consensusone,comdexvaloper1flh26y7f2vsam4a6snwgrqaxkhe0g2yljstdqm
comdex-1,validblocks,comdexvaloper1l87lywr66ehhfuy3807nuwfjpmweyerdm8u602
comdex-1,chaintools,comdexvaloper1z6a9p43svtkzf5efmy78tae7qqz8p8cctyj6yg
comdex-1,chillvalidation,comdexvaloper1qr7eckxg5zgsp40sdwr9qj2arfx5ftgpggl98t
comdex-1,zenscape,comdexvaloper1gjcv70fqf4557g8uqsk83l82fccykx0ye43ul9
comdex-1,finality,comdexvaloper1ej2es5fjztqjcd4pwa0zyvaevtjd2y5wh2dqrg
comdex-1,nodeofcosmonauts,comdexvaloper1yyc7vmzy9w2g79gswz9cx845hh7l275cw7eg2r
comdex-1,staketab,comdexvaloper1s9em43slvq8zk9xxkdfqgve9zxw4sha7hhkqa7
comdex-1,stakerhouse,comdexvaloper12q4a5qvuzzn2kspe6dekkhnl77ct52dr5vpwsk
comdex-1,posthumanstakedrop,comdexvaloper1963hcznh439kspqmjj5hv5h4nk2kphvats5ujk
comdex-1,cosmosspaces,comdexvaloper1ee63nuagkj5age25jhdytj6vawt89jqqxyw7ls
comdex-1,stavr,comdexvaloper1g6fm6xcgzrlm9d2apf3t8xvu7wrk509wxyy5rq
comdex-1,cosmoverse,comdexvaloper1txq98fyl406jvgv723dljnnqh5d33gaajyfmpg
cosmoshub-4,kahuna,cosmosvaloper17r0cp9zrtkvzlz7a2r09gmdxwqfyje98l3k9h6
cosmoshub-4,thecybernetics,cosmosvaloper18m9wncg0w74vusm4xu0mk6ha2lpdrqq7c9cjq3
cosmoshub-4,croutondigital,cosmosvaloper1nlfrwx5t3mm3cuqqkvjv6jv24m7s2z5utzfe8s
dydx-mainnet-1,nansen,dydxvaloper1c9ye54e3pzwm3e0zpdlel6pnavrj9qqv2ttvgk
dydx-mainnet-1,stakecito,dydxvaloper18jr2wx3qsu8g9gep6jypcxunx2jvcjquxk60wc
dydx-mainnet-1,rhino,dydxvaloper1cpz0jtj6rkezzs7z8k5gy6py05sxdkmyvggvvh
dydx-mainnet-1,clc,dydxvaloper1e0r3fljewfvj7729q6f07m8fy9v5e208s5ztkf
dydx-mainnet-1,interstellarlounge,dydxvaloper1u0exa7dqlsgvfje9sg0emxrmtdmvakp7d0f697
dydx-mainnet-1,delight,dydxvaloper1mnj3vlwgud7fvfx7tgawmx8k2gd40fy2amarjg
dydx-mainnet-1,cosmicvalidator,dydxvaloper1k2mlt4akhddh8gz9r3227ruuaestgdczx60vqk
evmos_9001-2,cosmosspaces,evmosvaloper17z0xyw6vwjn6gqj86s3axs7mjsngdl6sncdwga
evmos_9001-2,jerryspool,evmosvaloper1lldjhjnn32e8vek7cxe9g05nf8j74y0xs5zmsu
evmos_9001-2,beehive,evmosvaloper1nfx47fqnqpcarqwt7qn4fk0llc57vvh3wgg35c
haqq_11235-1,stakingcabin,haqqvaloper1f6hy5d68hkx9wtp8er3mgdfwjfjr7tun5yu7us
haqq_11235-1,p-opsteam,haqqvaloper1xwwut6nrqmqqyv4w5an4x0zwr8vt7vy7s723s6
haqq_11235-1,stakebroker,haqqvaloper1rssz59ag9r4hm0tj8avp6x47uuqc9xtc8umtnr
haqq_11235-1,stakeup,haqqvaloper1ysps8cnwp868hw3srcsy8mkk9cvv7g70evv2v9
haqq_11235-1,lovd,haqqvaloper188rzn2dgqtfx98eke434xtas9ngef9c5zfccsw
haqq_11235-1,ugaenn,haqqvaloper1m7esphm6f43vanux04ug9tyrxm8awrhd4sm6nh
haqq_11235-1,thehoneybadger,haqqvaloper1s8p7kahfwghxz56elmdufgrvehzx20a99q9v7n
haqq_11235-1,konsortech,haqqvaloper1qujkgnaxmy5ngyudunh04j6ctpt8dp4u8h9rk8
haqq_11235-1,tarabukinivan,haqqvaloper1xwpeshg6v7fdg55evd9pzlay22a407dnxaat00
haqq_11235-1,cyberomanov,haqqvaloper1rf3e3z60lqattw7vxxfu328pwlzu60knjlddsf
haqq_11235-1,blackhox,haqqvaloper1jt70r5w5q56fers0a4z2x95l92v360pw8mg5th
haqq_11235-1,segastakers,haqqvaloper10jqmd8rvggegva0r5smarr7avwwa8vce0q5gsh
haqq_11235-1,dteam,haqqvaloper1gygy6q8dvpmwy6ps2yj8d503up3hssuv9gv6yu
haqq_11235-1,gmocoin,haqqvaloper1f2j8t0ddtak6z9td28wmv60xj6mlykzx65jr8w
injective-1,zellic,injvaloper13v0sulppc8pgtk4907p3vaqgq54vyl9yqmf7av
injective-1,scvsecurity,injvaloper19a77dzm2lrxt2gehqca3nyzq077kq7qsgvmrp4
injective-1,cointelegraph,injvaloper1vgu49xjgle9k84smvrwlyuc38u0cakuz7q3a5f
injective-1,deutschetelekom,injvaloper1nngrhnm65wm8pu7wkah6hfs3vpd0xw463ydd65
injective-1,readyblock,injvaloper1yljq5pdnx84kkg30jfmz6ddu4eyp7twyp4z40f
injective-1,blackpanther,injvaloper10pe4avat38u38yzj5hvnw235uecfff6c73s8fn
injective-1,allnodes,injvaloper14w4qu60azpz5zkw5yrcvmaxqh6xg5sny7qm6rm
injective-1,republiccrypto,injvaloper1nxq05qdle8w5gm6fagda56euwt4rgvv4ktddcc
injective-1,hextrust,injvaloper1u8npsgrcyk4csp0cpzecwkvcqw4e6thqzcrvp7
injective-1,bitgobytwinstake,injvaloper1pkyycsewsfclqq4vshge540hwnqpqvlj3p80an
injective-1,decentriolabs,injvaloper1mlsg82x0mnw88u2teg0kceautjktgcl08tqfs4
injective-1,keplr,injvaloper1845wspsvm3z95a2zycz3t49gn7celq48dlyscc
injective-1,kiln,injvaloper1vm2gflv53mzy9ak4f8cr9ml3xus980wywe9fx2
injective-1,neptunefoundation,injvaloper1qzu3s7uzydpj0vcgrgp04j7u48pgkesy7zl7t3
injective-1,nttdigital,injvaloper177zqwtsnuhax28w5xpmf33wsl7l2xxf6y6xshc
injective-1,twinstake,injvaloper18cyc7wxru3g9de3emwy9pdh5x0vevxp3p2623y
juno-1,silknodes,junovaloper1v676erkdwd3hq2n2a7xte5qpymdfa8c8uyatcw
juno-1,ecostake,junovaloper19ur8r2l25qhsy9xvej5zgpuc5cpn6syydmwtrt
juno-1,chainroot,junovaloper1c0r2r5e3usyjjy55dk5ktql9nc5nljk3jn6mkq
juno-1,allnodes,junovaloper1v3lnt5cjjk9658yyrv2673pcqx3nzvkg256xjp
juno-1,kleomedes,junovaloper1x8u2ypdr35802tjyjqyxan8x85fzxe6sk0qmh8
juno-1,validatus,junovaloper19v94c3z7ckarwsum76kaagma0wqsqhh5w9jlsx
juno-1,stavr,junovaloper177svs8gyz28pupaj6amgls6rahcmwmwq06fukv
juno-1,stakerelax,junovaloper1yg0h9xeseq3qfu2vkwj3m29yf42lnyfmqasn35
juno-1,polkachucom,junovaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4pvzc6k3
juno-1,stakeflow,junovaloper1ssmt2aveqpc7e0ncgxt0tpj83ur623dvk7uvng
juno-1,crosnest,junovaloper1p0r4znp29547d8ra5k8t6ls0ztm3tj74ak38wz
juno-1,trace,junovaloper13uflwz6ncv7wuey55rhh08nlmskpdpfevckja0
juno-1,staketown,junovaloper12rkgnycfaqqyclrhquzerrm4nfwg6um26l2aqw
juno-1,stakelab,junovaloper1la7th9kc3gdltl53cedxxqpkyk5runudrzwx55
juno-1,communitystaking,junovaloper1zxx8j75ngm8m38v9l5wreaavwnsuun7gcq5cu8
juno-1,expedition,junovaloper1tx2u0nvjwregdv6a5t5k7z0krv6l8l6hgq4z85
juno-1,cosmosspaces,junovaloper1836fhsg6yqpu98vezfc7caakchqe8pvske7t8q
juno-1,owlstake,junovaloper1t3cjxseweyyy5ssckdr2ynn0qx283hza33p056
juno-1,cryptocrew,junovaloper1ncu32g0lzhk0epzdar7smd3qv9da2n8w8mwn4k
juno-1,inotel,junovaloper1z89utvygweg5l56fsk8ak7t6hh88fd0aa9ywed
juno-1,icycro,junovaloper1nna7k5lywn99cd63elcfqm6p8c5c4qcup6gd43
juno-1,vairagyanodes,junovaloper1qh8rgkdm77wrhlf7un20gz9gmtpxkyaeqsaq63
juno-1,securesecrets,junovaloper1vq8tw77kp8lvxq9u3c8eeln9zymn68rng8pgt4
juno-1,cogwheel,junovaloper1sz9nuewea8dlje7lzqymzyww8q0hun5q5ryep7
juno-1,gatahub,junovaloper1yeaw3dv6jk3hr290l2tsew7rr2vjykynme37s2
juno-1,cryptodungeon,junovaloper13x4pynlp86prhcmtns742kgsgu7pjtzjeknkwx
laozi-mainnet,chorusone,bandvaloper15urq2dtp9qce4fyc85m6upwm9xul3049fz627w
laozi-mainnet,forbole,bandvaloper14kn0kk33szpwus9nh8n87fjel8djx0y0wz502z
laozi-mainnet,ubikcapital,bandvaloper14wuzcsyttmyedc7e7z7e0exhg8k94x6eulj6pt
laozi-mainnet,stakecito,bandvaloper1p26kdh5fx24qz9xa5jtjje8ha8ee9q44nrsc8c
laozi-mainnet,htx,bandvaloper1aqqfs9dftsmdnp3tuzqfvpwd4768mj42pd67ea
osmosis-1,01node,osmovaloper1xaz2yf5l0qcta60nlc9v4vzufz2r3swte7y8xd
osmosis-1,chiterincosmos,osmovaloper1lmxrexaxuc7ealq4wqdgzrczajhhrenrdlhxha
phoenix-1,synergynodes,terravaloper1tm0xkark2ufecmdhgaaw7gqsycyt4qag6py8x6
phoenix-1,eris,terravaloper1vm5azhvaxeanc7auxh02y8jmxrk8tj93f43e7j
phoenix-1,lavenderfivenodes,terravaloper1vcd42qfvlvnjwaw7hvl6y32wrzqxvas653yus9
phoenix-1,cosmosrescue,terravaloper1htey4gcdcass29vn4dwjcuq58mrvv8ra5pjz4k
phoenix-1,activenodes,terravaloper1a9zv7n6pmkzlm3wj6c23qyejqlmyxsl5faanrv
phoenix-1,stakin,terravaloper1mgpgp53tynj4djmckxdjhufa7q8lqqjuwnrlqm
phoenix-1,highstakes,terravaloper1pgyelqv0hwjavgf6vhdm4e4pt766wfxxczu20l
phoenix-1,pronodes75,terravaloper1puzp2yjqps43x7nse33svljc550xjz35jxg432
phoenix-1,wildsage,terravaloper1l920a79akuc98hz4389axf9ctcymrf5ays578x
phoenix-1,0basevc,terravaloper1plxp55happ379eevsnk2xeuwzsrldsmqduyu36
phoenix-1,r93axnodes,terravaloper1vh9m0jpuznh00t05c66yqqpsgqzudrg258q6ch
phoenix-1,tdrsys,terravaloper1cs0dspacdhym4cwcm3f7suurfszvl6k5s9p06a
phoenix-1,ceresventures,terravaloper1q8w4u2wyhx574m70gwe8km5za2ptanny9mnqy3
phoenix-1,nftswitch,terravaloper1vrkzjujfds9p8t5g0xety3e3ft4dep02etv9le
phoenix-1,node39,terravaloper1l63t9c0nruewg5zdrmv8pvcxdg0az6fqgg008k
phoenix-1,owlstake,terravaloper1lg8zwpjvyx4pqy0j5ue2kf08edkuwy6l0j7f0h
phoenix-1,mantra,terravaloper1yej82e2zursn2f56vgxfvmydwj9f2awluhusqh
phoenix-1,orion,terravaloper1dvl464gpzxwru4a97q6pzqv7n7rcnxwlyspnau
phoenix-1,securesecrets,terravaloper1wzu2j73nvccghywtghku5ch59f67jykw58na64
phoenix-1,mario,terravaloper1rgdps79da300t87twwkcly6ec3vlpgpfgnsel5
sommelier-3,sommelierfoundation,sommvaloper1rtt69afx4dtj4t3urgm93qq7kxypzzeew4w8t0
sommelier-3,defigeek,sommvaloper1delagkfwss0x8vjrzwqtws4kj47jgteen0vrup
sommelier-3,redplanet,sommvaloper1kwnymjvr2t4g3agzd6h077kx6k62avzpr8zcpz
sommelier-3,validatus,sommvaloper1jgfjrec3u2ev6v89sav06we8jn5tf4cqlpj997
sommelier-3,freshstaking,sommvaloper17h2x3j7u44qkrq0sk8ul0r2qr440rwgj2latjp
sommelier-3,bitnordic,sommvaloper1qzy5ydycy6deseghvh4f4f20s268s4tn4527kj
sommelier-3,stavr,sommvaloper1fes322u0x7422ugc05xkxeav2zzd3kfgf898f4
sommelier-3,validarios,sommvaloper1xepu6f8nvqzd95fgs0njvm8rvwxq79dydzzrmn
sommelier-3,syanodes,sommvaloper1k6vwc45uu5k7tth7gnnh4c967g5cg04f84jla3
sommelier-3,ztakeorg,sommvaloper13ul4wf2gwuwfrqrx70h2j9evje05vtglpc44sc
ssc-1,nodestake,sagavaloper19f0w9svr905fhefusyx4z8sf83j6et0gsn0qkm
ssc-1,unityfarms,sagavaloper1pg3u9vl53jngwfly0370jne8fv533hd6emrfmd
ssc-1,nocturnallabs,sagavaloper1axyv94rv40cug6acgh0zlzvq9awf4ajea3yrd4
ssc-1,polkachucom,sagavaloper13dfsqypv3rjucvncpjy9p6jm47hc0e7827g0cq
ssc-1,sg1,sagavaloper1v7f0980q2z3he88fc7cs6tx7le70578rgcn6re
ssc-1,stakerelax,sagavaloper1l9aqqku8yk0p3w8kljmrwj32ztzz74earjl0sp
umee-1,umeeburnvalidator,umeevaloper1fz037eya6ruvklcakq95uftmz6cxw72re9dgkf
umee-1,chainroot,umeevaloper1c0r2r5e3usyjjy55dk5ktql9nc5nljk3fw4lla
umee-1,stavr,umeevaloper1dkjcas3j43u3v6l94jhhhnjxhlnwxt3m02p4c3
umee-1,staketown,umeevaloper1tvnv9x93s2vaap79j0jxt49hak8emld2ylx84l
umee-1,autostakeslashprotected,umeevaloper1py60fpud4w468zn7mthfa25xnzuawjum7w90q2
umee-1,highstakes,umeevaloper1rtdcc3ukvf80xzqk00nsj5v06edf39q0yxe2ve
umee-1,coinmetrika,umeevaloper1z6qsfe95y3luzj4wve93s9w6rjs7msk972zs4f
umee-1,elysium,umeevaloper1tm5lt2y6sw62dptctecq9g9wjv7hwzkfpsnxjw
umee-1,encapsulate,umeevaloper1s0lankh33kprer2l22nank5rvsuh9ksavp35nh
umee-1,medium,umeevaloper1nhxqqa7rlmuw7yzpf0v4zzusk39fzuk2h0rptu
umee-1,pronodes75,umeevaloper1vn5ysf7u9dssn2pm6h8agmqerxc5mq79p3e9ny
umee-1,amsolutions,umeevaloper1hdeemspqtxaw5pk3ddmtzju3xtk0euj5xddr0c
umee-1,cosmowiz,umeevaloper1lpyjdjtscyurhqze5xvkvhdj94wltcs6g7wq84
umee-1,stakeangle,umeevaloper1lewxvf5qcyfqtl2m49k285qtdsa3vgstkj00n8
umee-1,node101,umeevaloper12h8fpmg5qs570rmlem27km5xu4l2gv0lapuels
